Date,AAPL,NVDA,JPM,SPY,GLD,TLT,EURUSD,BTC-USD
2016-01-04,23.7309,0.7896,48.6487,170.3688,102.89,92.3436,1.0854,433.091003418
2016-01-05,23.1363,0.8023,48.7328,170.6577,103.18,91.9711,1.0828,431.9599914551
2016-01-06,22.6835,0.7691,48.0293,168.505,104.67,93.2104,1.0752,429.1050109863
2016-01-07,21.7261,0.7386,46.087,164.4623,106.15,93.3777,1.0779,458.0480041504
2016-01-08,21.841,0.7227,45.0547,162.6596,105.68,93.7959,1.0926,453.2300109863
2016-01-11,22.1947,0.724,44.9859,162.8181,104.74,92.7694,1.0941,448.4280090332
2016-01-12,22.5168,0.7362,45.0853,164.1324,104.21,94.1076,1.0858,435.6900024414
2016-01-13,21.9379,0.7137,43.8465,160.0382,104.72,95.0353,1.0844,432.3710021973
2016-01-14,22.4177,0.6993,44.5041,162.6655,103.02,94.1457,1.0886,430.3059997559
2016-01-15,21.8793,0.6613,43.6171,159.1737,104.08,95.6131,1.0859,364.3309936523
2016-01-19,21.7735,0.6666,43.5942,159.3856,103.98,95.3166,1.0895,380.1489868164
2016-01-20,21.8027,0.6703,42.4471,157.3431,105.37,96.3202,1.0913,420.2300109863
2016-01-21,21.6924,0.6781,42.2483,158.2245,105.49,95.6663,1.0877,410.2619934082
2016-01-22,22.8457,0.694,43.5483,161.4705,105.0,95.3014,1.0862,382.4920043945
2016-01-25,22.3997,0.6932,42.5618,159.0296,106.08,95.8184,1.0799,391.7260131836
2016-01-26,22.5236,0.7001,43.6477,161.1993,107.29,95.864,1.0853,392.1530151367
2016-01-27,21.0436,0.6918,43.6171,159.4449,107.69,95.8412,1.0865,394.9719848633
2016-01-28,21.1945,0.6842,43.8006,160.2755,106.54,95.9781,1.0908,380.2890014648
2016-01-29,21.9266,0.7144,45.4982,164.1833,106.9492,96.7916,1.0937,379.4739990234
2016-02-01,21.7216,0.7147,45.0088,164.1233,108.05,96.4953,1.0826,373.0559997559
2016-02-02,21.2824,0.6844,43.6095,161.1654,108.09,98.2855,1.0897,374.4479980469
2016-02-03,21.7036,0.6879,43.9,162.1316,109.25,97.4704,1.0922,369.949005127
2016-02-04,21.878,0.6881,44.6571,162.3858,110.57,97.9427,1.1091,389.5939941406
2016-02-05,21.2937,0.6447,44.16,159.2924,112.32,98.057,1.12,386.5490112305
2016-02-08,21.5179,0.6152,43.2348,157.1481,113.83,100.1671,1.1145,373.4469909668
2016-02-09,21.5134,0.6218,42.9748,157.1566,113.58,100.2738,1.119,376.0289916992
2016-02-10,21.3503,0.6203,42.4548,157.021,114.46,101.1574,1.129,381.6489868164
2016-02-11,21.2212,0.6171,40.5813,154.9785,119.0592,101.8659,1.1281,379.6539916992
2016-02-12,21.2869,0.6276,43.9612,158.1736,118.36,100.1747,1.1318,384.2630004883
2016-02-16,21.8871,0.6583,44.6188,160.8433,114.77,99.1159,1.1174,407.4880065918
2016-02-17,22.2223,0.6747,44.94,163.4707,115.48,98.5064,1.1147,416.3219909668
2016-02-18,21.801,0.7327,44.2059,162.8011,118.29,99.7177,1.1123,422.3729858398
2016-02-19,21.7512,0.7425,44.2135,162.7248,117.58,99.8015,1.1111,420.7850036621
2016-02-22,21.9414,0.7688,44.7871,165.081,115.49,99.7481,1.1124,437.7479858398
2016-02-23,21.4454,0.7708,42.9136,162.996,117.22,100.1519,1.1028,420.7359924316
2016-02-24,21.7648,0.7762,42.9289,163.7419,117.61,99.9538,1.1027,424.9549865723
2016-02-25,21.9142,0.7779,43.5942,165.7251,117.92,100.3119,1.1014,424.5440063477
2016-02-26,21.9482,0.7727,43.9994,165.343,117.11,99.3444,1.1025,432.1520080566
